id;start_date;end_date;language
1;2020-02-21T07:48:00;2020-02-21T05:38:15;SPANISH
2;2020-02-20T12:38:11;2020-02-21T07:42:36;SPANISH
3;2020-02-21T03:33:30;2020-02-20T14:07:39;FRENCH
4;2020-02-20T18:51:01;2020-02-21T06:22:27;FRENCH
5;2020-02-21T04:21:19;2020-02-21T09:08:18;FRENCH
6;2020-02-20T22:13:40;2020-02-21T10:21:54;FRENCH
7;2020-02-20T23:59:00;2020-02-20T17:49:51;FRENCH
8;2020-02-20T22:55:13;2020-02-21T09:11:21;SPANISH
9;2020-02-20T21:36:22;2020-02-20T18:17:45;SPANISH
10;2020-02-21T05:48:26;2020-02-20T16:22:56;SPANISH
